HistoricalData. ReqId: 4001 - Date: 20170608  21:30:00, Open: 45.91, High: 45.92, Low: 45.89, Close: 45.89, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  21:31:00, Open: 45.89, High: 45.9, Low: 45.84, Close: 45.84, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  21:32:00, Open: 45.84, High: 45.89, Low: 45.84, Close: 45.88, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  21:33:00, Open: 45.88, High: 45.93, Low: 45.87, Close: 45.9, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  21:34:00, Open: 45.9, High: 45.95, Low: 45.89, Close: 45.92, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  21:35:00, Open: 45.92, High: 46.01, Low: 45.89, Close: 45.98, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  21:36:00, Open: 45.98, High: 45.98, Low: 45.94, Close: 45.95, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  21:37:00, Open: 45.95, High: 45.95, Low: 45.91, Close: 45.93, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  21:38:00, Open: 45.93, High: 45.97, Low: 45.93, Close: 45.97, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  21:39:00, Open: 45.97, High: 45.99, Low: 45.95, Close: 45.99, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  21:40:00, Open: 45.99, High: 46.01, Low: 45.94, Close: 45.98, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  21:41:00, Open: 45.98, High: 46.21, Low: 45.97, Close: 46.21, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  21:42:00, Open: 46.21, High: 46.22, Low: 46.1, Close: 46.1, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  21:43:00, Open: 46.1, High: 46.12, Low: 46.07, Close: 46.1, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  21:44:00, Open: 46.1, High: 46.2, Low: 46.1, Close: 46.17, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  21:45:00, Open: 46.17, High: 46.22, Low: 46.16, Close: 46.18, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  21:46:00, Open: 46.18, High: 46.26, Low: 46.16, Close: 46.22, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  21:47:00, Open: 46.22, High: 46.23, Low: 46.16, Close: 46.19, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  21:48:00, Open: 46.19, High: 46.28, Low: 46.19, Close: 46.22, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  21:49:00, Open: 46.22, High: 46.23, Low: 46.18, Close: 46.19, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  21:50:00, Open: 46.19, High: 46.22, Low: 46.16, Close: 46.16, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  21:51:00, Open: 46.16, High: 46.17, Low: 46.14, Close: 46.17, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  21:52:00, Open: 46.17, High: 46.2, Low: 46.16, Close: 46.18, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  21:53:00, Open: 46.18, High: 46.19, Low: 46.13, Close: 46.15, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  21:54:00, Open: 46.15, High: 46.15, Low: 46.11, Close: 46.14, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  21:55:00, Open: 46.14, High: 46.27, Low: 46.14, Close: 46.25, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  21:56:00, Open: 46.25, High: 46.38, Low: 46.22, Close: 46.31, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  21:57:00, Open: 46.31, High: 46.33, Low: 46.28, Close: 46.32, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  21:58:00, Open: 46.32, High: 46.39, Low: 46.3, Close: 46.33, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  21:59:00, Open: 46.33, High: 46.41, Low: 46.33, Close: 46.4, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  22:00:00, Open: 46.4, High: 46.43, Low: 46.32, Close: 46.38, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  22:01:00, Open: 46.38, High: 46.38, Low: 46.34, Close: 46.36, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  22:02:00, Open: 46.36, High: 46.39, Low: 46.36, Close: 46.38, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  22:03:00, Open: 46.38, High: 46.4, Low: 46.31, Close: 46.33, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  22:04:00, Open: 46.33, High: 46.35, Low: 46.31, Close: 46.32, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  22:05:00, Open: 46.32, High: 46.46, Low: 46.32, Close: 46.42, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  22:06:00, Open: 46.42, High: 46.42, Low: 46.38, Close: 46.39, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  22:07:00, Open: 46.39, High: 46.47, Low: 46.39, Close: 46.47, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  22:08:00, Open: 46.47, High: 46.51, Low: 46.44, Close: 46.46, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  22:09:00, Open: 46.46, High: 46.48, Low: 46.4, Close: 46.4, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  22:10:00, Open: 46.4, High: 46.43, Low: 46.39, Close: 46.39, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  22:11:00, Open: 46.39, High: 46.4, Low: 46.37, Close: 46.37, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  22:12:00, Open: 46.37, High: 46.4, Low: 46.36, Close: 46.36, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  22:13:00, Open: 46.36, High: 46.47, Low: 46.36, Close: 46.42, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  22:14:00, Open: 46.42, High: 46.44, Low: 46.4, Close: 46.43, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  22:15:00, Open: 46.43, High: 46.44, Low: 46.37, Close: 46.4, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  22:16:00, Open: 46.4, High: 46.42, Low: 46.38, Close: 46.38, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  22:17:00, Open: 46.38, High: 46.38, Low: 46.32, Close: 46.33, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
HistoricalData. ReqId: 4001 - Date: 20170608  22:18:00, Open: 46.33, High: 46.43, Low: 46.33, Close: 46.41, Volume: -1, Count: -1, WAP: -1, HasGaps: 0
